time_stamp,seconds,nanos,bid_size,bid_price,ask_price,ask_size,trade_price,trade_size,not_shown_book_ticks_before
2022-01-14 14:55:19.2748,1642172119,274800000,300,173.15,173.18,216,,,1
2022-01-14 14:55:19.2748,1642172119,274800000,,,,,173.17,7,
2022-01-14 14:55:19.3709,1642172119,370900000,200,173.15,173.17,100,,,6
2022-01-14 14:55:19.3709,1642172119,370900000,,,,,173.17,100,
2022-01-14 14:55:20.0657,1642172120,65700000,300,173.18,173.2,204,,,66
2022-01-14 14:55:20.0657,1642172120,65700000,,,,,173.2,1,
2022-01-14 14:55:20.0657,1642172120,65700000,300,173.18,173.2,128,,,1
2022-01-14 14:55:20.0657,1642172120,65700000,,,,,173.2,72,
2022-01-14 14:55:20.1728,1642172120,172800000,310,173.17,173.2,212,,,38
2022-01-14 14:55:20.1728,1642172120,172800000,,,,,173.19,100,
2022-01-14 14:55:20.1798,1642172120,179800000,366,173.18,173.21,200,,,10
2022-01-14 14:55:20.1798,1642172120,179800000,,,,,173.2,12,
2022-01-14 14:55:20.5812,1642172120,581200000,404,173.19,173.22,100,,,72
2022-01-14 14:55:20.5812,1642172120,581200000,,,,,173.2,4,
2022-01-14 14:55:20.5812,1642172120,581200000,200,173.19,173.22,100,,,1
2022-01-14 14:55:20.5812,1642172120,581200000,,,,,173.19,100,
2022-01-14 14:55:20.5812,1642172120,581200000,8,173.19,173.22,100,,,1
2022-01-14 14:55:20.5812,1642172120,581200000,,,,,173.19,92,
2022-01-14 14:55:20.6058,1642172120,605800000,304,173.18,173.2,141,,,28
2022-01-14 14:55:20.6058,1642172120,605800000,,,,,173.2,100,
2022-01-14 14:55:20.6058,1642172120,605800000,304,173.18,173.21,208,,,2
2022-01-14 14:55:20.6058,1642172120,605800000,,,,,173.2,41,
2022-01-14 14:55:21.0305,1642172121,30500000,110,173.17,173.19,461,,,41
2022-01-14 14:55:21.0305,1642172121,30500000,,,,,173.18,100,
2022-01-14 14:55:21.09,1642172121,90000000,10,173.17,173.19,469,,,7
2022-01-14 14:55:21.09,1642172121,90000000,,,,,173.18,100,
2022-01-14 14:55:21.9441,1642172121,944100000,300,173.18,173.21,208,,,96
2022-01-14 14:55:21.9441,1642172121,944100000,,,,,173.2,14,
2022-01-14 14:55:22.1578,1642172122,157800000,500,173.19,173.21,25,,,39
2022-01-14 14:55:22.1578,1642172122,157800000,,,,,173.21,58,
2022-01-14 14:55:22.1578,1642172122,157800000,500,173.19,173.22,100,,,1
2022-01-14 14:55:22.1578,1642172122,157800000,,,,,173.21,25,
2022-01-14 14:55:22.1578,1642172122,157800000,400,173.2,173.21,35,,,11
2022-01-14 14:55:22.1578,1642172122,157800000,,,,,173.21,54,
2022-01-14 14:55:22.1578,1642172122,157800000,400,173.2,173.23,100,,,1
2022-01-14 14:55:22.1578,1642172122,157800000,,,,,173.21,35,
2022-01-14 14:55:22.9278,1642172122,927800000,3,173.17,173.18,100,,,107
2022-01-14 14:55:22.9278,1642172122,927800000,,,,,173.17,7,
2022-01-14 14:55:22.9363,1642172122,936300000,200,173.15,173.18,208,,,7
2022-01-14 14:55:22.9363,1642172122,936300000,,,,,173.17,3,
2022-01-14 14:55:24.1335,1642172124,133500000,202,173.16,173.19,12,,,168
2022-01-14 14:55:24.1335,1642172124,133500000,,,,,173.17,100,
2022-01-14 14:55:24.1335,1642172124,133500000,300,173.15,173.18,242,,,6
2022-01-14 14:55:24.1335,1642172124,133500000,,,,,173.17,100,
2022-01-14 14:55:24.2473,1642172124,247300000,100,173.16,173.17,500,,,22
2022-01-14 14:55:24.2473,1642172124,247300000,,,,,173.17,500,
2022-01-14 14:55:24.2473,1642172124,247300000,734,173.16,173.18,8,,,1
2022-01-14 14:55:24.2473,1642172124,247300000,,,,,173.17,500,
2022-01-14 14:55:25.2486,1642172125,248600000,200,173.17,173.18,11,,,163
2022-01-14 14:55:25.2486,1642172125,248600000,,,,,173.18,13,
2022-01-14 14:55:25.2486,1642172125,248600000,300,173.17,173.19,100,,,2
2022-01-14 14:55:25.2486,1642172125,248600000,,,,,173.18,10,
2022-01-14 14:55:26.0448,1642172126,44800000,35,173.18,173.2,108,,,90
2022-01-14 14:55:26.0448,1642172126,44800000,,,,,173.19,16,
2022-01-14 14:55:26.7885,1642172126,788500000,200,173.16,173.19,308,,,121
2022-01-14 14:55:26.7885,1642172126,788500000,,,,,173.17,4,
2022-01-14 14:55:27.4155,1642172127,415500000,700,173.17,173.2,8,,,85
2022-01-14 14:55:27.4155,1642172127,415500000,,,,,173.19,8,
2022-01-14 14:55:27.4155,1642172127,415500000,700,173.18,173.22,332,,,3
2022-01-14 14:55:27.4155,1642172127,415500000,,,,,173.2,8,
2022-01-14 14:55:27.4155,1642172127,415500000,500,173.19,173.22,332,,,6
2022-01-14 14:55:27.4155,1642172127,415500000,,,,,173.21,100,
2022-01-14 14:55:28.5149,1642172128,514900000,200,173.21,173.23,100,,,136
2022-01-14 14:55:28.5149,1642172128,514900000,,,,,173.22,100,
2022-01-14 14:55:29.2866,1642172129,286600000,12,173.24,173.25,2,,,111
2022-01-14 14:55:29.2866,1642172129,286600000,,,,,173.25,25,
2022-01-14 14:55:29.2866,1642172129,286600000,112,173.24,173.27,100,,,1
2022-01-14 14:55:29.2866,1642172129,286600000,,,,,173.25,27,
2022-01-14 14:55:29.2866,1642172129,286600000,,,,,173.25,27,
2022-01-14 14:55:29.2866,1642172129,286600000,312,173.24,173.26,300,,,12
2022-01-14 14:55:29.2866,1642172129,286600000,,,,,173.25,27,
2022-01-14 14:55:29.2924,1642172129,292400000,112,173.24,173.26,300,,,10
2022-01-14 14:55:29.2924,1642172129,292400000,,,,,173.25,12,
2022-01-14 14:55:29.9564,1642172129,956400000,100,173.24,173.27,200,,,98
2022-01-14 14:55:29.9564,1642172129,956400000,,,,,173.26,100,
2022-01-14 14:55:30.3064,1642172130,306400000,204,173.26,173.28,100,,,83
2022-01-14 14:55:30.3064,1642172130,306400000,,,,,173.27,10,
2022-01-14 14:55:30.3367,1642172130,336700000,4,173.27,173.29,200,,,9
2022-01-14 14:55:30.3367,1642172130,336700000,,,,,173.27,100,
2022-01-14 14:55:30.3367,1642172130,336700000,104,173.26,173.29,200,,,1
2022-01-14 14:55:30.3367,1642172130,336700000,,,,,173.27,4,
2022-01-14 14:55:31.0052,1642172131,5200000,4,173.25,173.27,100,,,75
2022-01-14 14:55:31.0052,1642172131,5200000,,,,,173.26,100,
2022-01-14 14:55:31.2873,1642172131,287300000,204,173.25,173.27,104,,,20
2022-01-14 14:55:31.2873,1642172131,287300000,,,,,173.26,11,
2022-01-14 14:55:32.0072,1642172132,7200000,4,173.25,173.27,500,,,103
2022-01-14 14:55:32.0072,1642172132,7200000,,,,,173.26,25,
2022-01-14 14:55:32.1877,1642172132,187700000,204,173.24,173.27,300,,,50
2022-01-14 14:55:32.1877,1642172132,187700000,,,,,173.25,4,
2022-01-14 14:55:34.4587,1642172134,458700000,200,173.25,173.28,239,,,190
2022-01-14 14:55:34.4587,1642172134,458700000,,,,,173.26,10,
2022-01-14 14:55:34.4713,1642172134,471300000,100,173.25,173.27,208,,,20
2022-01-14 14:55:34.4713,1642172134,471300000,,,,,173.26,100,
